ordinal,U_de_Aprend,Academia,Estruct_Curr,RowCurr,ColCurr,Creditos,media_calif,desv_calif,Dificultad 
1,Trigonometria,LF1GeomYTop,Disciplinar,1,1,6,86,11,0.97
2,GeometriaAnaliticaPlana,LF1GeomYTop,Disciplinar,2,1,8,85,8,0.91
3,TopicosDeMatematicas,TBA,TBA,3,1,8,78,8,1.05
4,FundamentosDeProgramacion,TBA,TBA,4,1,8,85,12,1
5,LogicaYConjuntos,LF6Algebra,Disciplinar,5,1,8,80,8,0.98
6,SistemasDeEcuacionesYMatrices,LF6Algebra,Disciplinar,6,1,6,82,12,0.9
7,OptLibre01,OptLibres,Opt_Libres,7,1,6,85,11,1.05
8,CalculoDiferencial,LF4Analisis,Disciplinar,1,2,8,84,11,0.99
9,GeometriaAnaliticaEnElEspacio,LF1GeomYTop,Disciplinar,2,2,8,87,12,0.9
10,ComprensionLectoraYRedaccion,TBA,TBA,3,2,8,81,8,1.05
11,TecnComYGestDeLaInf,TBA,TBA,4,2,6,82,12,0.94
12,HistoriaDeLasMatematicas,LF3CEducMat,Disciplinar,5,2,6,79,9,0.96
13,AlgebraLinealAvanzada,LF6Algebra,Disciplinar,6,2,8,85,8,0.98
14,OptLibre02,OptLibres,Opt_Libres,7,2,6,88,8,1.05
15,CalculoIntegral,LF4Analisis,Disciplinar,1,3,8,78,12,0.99
16,GeometriaEuclidiana,LF1GeomYTop,Disciplinar,2,3,8,78,8,0.93
17,MetodosNumericos,LF2Modelacion,Disciplinar,3,3,8,80,9,0.92
18,Probabilidad,LF5ProbYEst,Disciplinar,4,3,8,79,11,1
19,TeoriasDelAprendizaje,LF3CEducMat,Disciplinar,5,3,6,88,12,1.05
20,AlgebraSuperior,LF6Algebra,Disciplinar,6,3,10,82,11,0.9
21,OptLibre03,OptLibres,Opt_Libres,7,3,6,83,11,1.05
22,CalculoSuperior,LF4Analisis,Disciplinar,1,4,8,78,10,0.99
23,AnalisisReal,LF4Analisis,Disciplinar,2,4,8,81,12,0.94
24,FundamentosDeFisicaClasica,LF7Fisica,Disciplinar,3,4,6,79,12,0.99
25,EstadisticaDescEInf,LF5ProbYEst,Disciplinar,4,4,8,82,9,0.99
26,DidacticaDeLasMatematicas,LF3CEducMat,Disciplinar,5,4,8,87,11,0.9
27,AlgebraModerna,LF6Algebra,Disciplinar,6,4,8,78,11,0.92
28,OptLibre04,OptLibres,Opt_Libres,7,4,6,86,12,1.05
29,Topologia,LF1GeomYTop,Disciplinar,1,5,10,79,9,1
30,AnalisisMatematico,LF4Analisis,Disciplinar,2,5,8,86,11,0.94
31,EcuacionesDiferencialesOrdinarias,LF2Modelacion,Disciplinar,3,5,8,85,12,0.98
32,ElementosDelMuestreo,LF5ProbYEst,Disciplinar,4,5,6,82,11,0.91
33,TecnYEnsDeLasMatematicas,LF3CEducMat,Disciplinar,5,5,8,84,10,0.98
34,TeoriaDeNumeros,LF6Algebra,Disciplinar,6,5,8,79,9,0.98
35,OptLibre05,OptLibres,Opt_Libres,7,5,6,84,11,1.05
36,GeometriaModerna,LF1GeomYTop,Disciplinar,1,6,8,79,9,0.99
37,TransformadasYSeries,LF2Modelacion,Disciplinar,2,6,8,84,9,0.97
38,EcuacionesDiferencialesParciales,LF2Modelacion,Disciplinar,3,6,8,81,8,0.9
39,DisenoDeExperimentos,LF5ProbYEst,Disciplinar,4,6,8,78,12,0.97
40,SoftwareEducativo,LF3CEducMat,Disciplinar,5,6,10,86,9,1
41,EvaluacionDelAprendizaje,LF3CEducMat,Disciplinar,6,6,8,82,10,1.05
42,VariableCompleja,LF4Analisis,Disciplinar,1,7,8,88,8,0.95
43,AnalisisFuncional,LF4Analisis,LP_8_Mat_Apl,2,7,8,87,10,0.96
44,DidacticaDelAlgebra,LF3CEducMat,LP_8_Mat_Edu,2,7,8,81,9,1.05
45,SistemasDinamicos,LF2Modelacion,Disciplinar,3,7,8,79,12,0.99
46,AnalisisTopologicoDeDatos,LF2Modelacion,LP_8_Mat_Apl,4,7,8,85,8,0.94
47,DidacticaDeLaGeometria,LF3CEducMat,LP_8_Mat_Edu,4,7,8,78,10,1
48,MetodologiaDeLaInvestigacion,LF3CEducMat,Disciplinar,5,7,8,78,12,1.05
49,ServicioSocial,SSyPP,SSyPP,6,7,10,100,1,1
50,DidacticaDelCalculo,LF3CEducMat,LP_8_Mat_Edu,1,8,8,78,9,0.97
51,TeoriaDeLaMedida,LF4Analisis,LP_8_Mat_Apl,1,8,8,81,11,0.99
52,AnalisisNumerico,LF2Modelacion,LP_8_Mat_Apl,2,8,8,78,12,0.92
53,PlaneacionDidactica,LF3CEducMat,LP_8_Mat_Edu,2,8,8,87,9,1.05
54,ProcesosEstocasticos,LF5ProbYEst,LP_8_Mat_Apl,3,8,8,78,10,0.97
55,SeminarioDeInvestigacion,LF3CEducMat,LP_8_Mat_Edu,3,8,8,80,11,0.95
56,MatematicasDiscretas,LF6Algebra,LP_8_Mat_Apl,4,8,8,88,8,0.95
57,TendenciasEducativas,LF3CEducMat,LP_8_Mat_Edu,4,8,8,81,11,1
58,PracticasProfesionales,SSyPP,SSyPP,6,8,5,100,1,1
